size	name	format	file	total	CJK	其他字符	规范一二级	规范繁简	GBT2312	GBT12345	GBK	古籍	Big5常用	Big5完整
4068976	胡晓波男神体	otf	*补充字体/胡晓波男神体.otf	7334	7107	227	6386	6879	6763	4687	7107	4622	3355	4587
8537656	腾讯体 W7	ttf	*补充字体/腾讯体W7.ttf	36598	27522	6729	6497	10463	6763	6865	21003	13338	5401	13060
5657104	造字工房刻宋体常规体	ttf	*补充字体/造字工房刻宋体（非商用）常规体.ttf	7267	6867	389	6320	6713	6763	4739	6866	4494	3395	4469
3322940	金山云技术体	ttf	*补充字体/金山云体.ttf	7563	6817	746	6316	6667	6763	4685	6817	4451	3329	4413
5801128	Tiejili SC Regular	ttf	*补充字体/铁蒺藜体.ttf	13121	11524	1597	6500	9761	6763	6271	11217	7513	5010	7461
11038112	QIJI	ttf	*补充字体/黄令東齊伋體.ttf	5958	5949	9	3758	5169	3794	3848	5856	4511	3526	4468
9917076	jiangxizhuokai Regular	ttf	*补充字体/黄煜臣江西拙楷2.0.ttf	6248	6055	193	5853	6014	6046	4175	6055	3993	3221	3974
8630528	龚帆免费体3.0	ttf	*补充字体/龚帆免费体3.0.ttf	4007	3889	118	3877	3883	3881	2709	3889	2648	2500	2641
7767856	Aa仿宋	ttf	Aa字库/Aa仿宋体.ttf	10581	8878	1690	6310	8729	6763	6797	8877	6414	4860	6390
6963376	Aa古典刻本宋	ttf	Aa字库/Aa古典刻本宋.ttf	10023	8878	1082	6310	8729	6763	6797	8877	6414	4860	6390
16997840	Aa古典明朝楷	ttf	Aa字库/Aa古典明朝楷.ttf	22050	20903	1084	6489	10371	6763	6865	20902	12307	5401	13058
16015712	Aa少年强则国强	ttf	Aa字库/Aa少年强则国强.ttf	22015	20903	1099	6489	10371	6763	6865	20902	12307	5401	13058
13947748	Aa楷宋	ttf	Aa字库/Aa楷宋·2万字.ttf	22093	20905	1115	6489	10371	6763	6865	20904	12307	5401	13060
9249332	中易宋体18030	ttf	中易/中易宋体18030.ttf	30286	27506	2755	6497	10463	6763	6865	20989	13338	5401	13060
10580176	仿宋	ttf	中易/仿宋 simfang.ttf	28522	27506	991	6497	10463	6763	6865	20989	13338	5401	13060
18070492	宋体	ttc	中易/宋体 simsun.ttc	28867	27606	1155	6497	10466	6763	6865	20997	13338	5401	13060
21882036	SimSun-ExtB	ttf	中易/新宋体 simsunb.ttf	60432	60331	101	3	202	0	1	6	912	0	0
11789376	楷体	ttf	中易/楷体 simkai.ttf	28522	27506	991	6497	10463	6763	6865	20989	13338	5401	13060
9755440	黑体	ttf	中易/黑体 simhei.ttf	28522	27506	991	6497	10463	6763	6865	20989	13338	5401	13060
7469960	仓耳云黑 W04	ttf	仓耳/仓耳云黑-W04.ttf	28517	27453	853	6490	10435	6763	6865	20922	13331	5401	13059
19139700	仓耳今楷04 W04	ttf	仓耳/仓耳今楷04-W04.ttf	29091	27452	1559	6490	10435	6763	6865	20921	13331	5401	13060
27759728	倉耳今楷05 W04	ttf	仓耳/仓耳今楷05-W04.ttf	29093	27454	1559	6490	10435	6763	6865	20923	13331	5401	13060
8024596	倉耳聚珍長仿	ttf	仓耳/仓耳聚珍长仿.ttf	11075	10681	392	6394	9201	6763	6850	10647	7628	5274	7681
12135284	华文中宋	ttf	华文/华文中宋.ttf	41766	21394	14994	6489	10374	6763	6865	20931	12307	5401	13060
11362788	华文仿宋	ttf	华文/华文仿宋.ttf	41766	21394	14994	6489	10374	6763	6865	20931	12307	5401	13060
11697600	华文宋体	ttf	华文/华文宋体.ttf	41766	21394	14994	6489	10374	6763	6865	20931	12307	5401	13060
12736196	华文楷体	ttf	华文/华文楷体.ttf	41766	21394	14994	6489	10374	6763	6865	20931	12307	5401	13060
9768704	华文细黑	ttf	华文/华文细黑.ttf	41766	21394	14994	6489	10374	6763	6865	20931	12307	5401	13060
3016732	国标仿宋-GB/T 2312 Regular	ttf	字语/国标仿宋.ttf	7541	6763	778	6310	6641	6763	4685	6763	4422	3328	4384
3717060	国标宋体-GB/T 2312 Regular	ttf	字语/国标宋体.ttf	7541	6763	778	6310	6641	6763	4685	6763	4422	3328	4384
4133184	国标小标宋-GB/T 2312 Regular	ttf	字语/国标小标宋.ttf	7540	6763	777	6310	6641	6763	4685	6763	4422	3328	4384
4806784	国标楷体-GB/T 2312 Regular	ttf	字语/国标楷体.ttf	7541	6763	778	6310	6641	6763	4685	6763	4422	3328	4384
2704496	国标黑体-GB/T 2312 Regular	ttf	字语/国标黑体.ttf	7541	6763	778	6310	6641	6763	4685	6763	4422	3328	4384
21396160	微軟正黑體	ttc	微软/微軟正黑體/msjh.ttc	29579	27810	1769	6497	10463	6763	6865	20989	13338	5401	13060
14436812	Microsoft JhengHei Gras	ttc	微软/微軟正黑體/msjhbd.ttc	29562	27810	1752	6497	10463	6763	6865	20989	13338	5401	13060
12868260	微軟正黑體 Light	ttc	微软/微軟正黑體/msjhl.ttc	29790	27810	1980	6497	10463	6763	6865	20989	13338	5401	13060
19704352	微软雅黑	ttc	微软/微软雅黑/msyh.ttc	29905	27802	2103	6500	10662	6763	6865	20997	13344	5401	13060
16883552	Microsoft YaHei Gras	ttc	微软/微软雅黑/msyhbd.ttc	29888	27802	2086	6500	10662	6763	6865	20997	13344	5401	13060
12189612	微软雅黑 Light	ttc	微软/微软雅黑/msyhl.ttc	29444	27802	1642	6500	10662	6763	6865	20997	13344	5401	13060
16681496	Unibit	ttf	文泉驿/Unibit.ttf	46444	27833	18245	6497	10463	6763	6865	20962	13338	5401	13060
5177387	文泉驛微米黑	ttc	文泉驿/wqy-microhei.ttc	34636	21237	13399	6489	10371	6763	6865	20931	12308	5401	13060
16791251	文泉驛正黑	ttc	文泉驿/wqy-zenhei.ttc	42318	28521	13797	6497	10463	6763	6865	20985	13338	5401	13060
8437556	方正书宋_GBK	otf	方正/方正书宋/方正书宋.otf	37937	21203	12035	6489	10374	6763	6865	20931	12307	5401	13060
9932132	方正书宋_GBK	ttf	方正/方正书宋/方正书宋_GBK.ttf	22009	20924	979	6489	10371	6763	6865	20923	12307	5401	13060
3081292	方正书宋简体	ttf	方正/方正书宋/方正书宋简体.ttf	8112	6763	827	6310	6641	6763	4685	6763	4422	3328	4384
3244164	方正书宋繁体	ttf	方正/方正书宋/方正书宋繁体.ttf	7822	6763	827	6310	6641	6763	4685	6763	4422	3328	4384
12257876	方正仿宋_GBK	ttf	方正/方正仿宋/方正仿宋_GBK.ttf	22009	20924	979	6489	10371	6763	6865	20923	12307	5401	13060
3724408	方正仿宋简体	ttf	方正/方正仿宋/方正仿宋简体.ttf	8112	6763	827	6310	6641	6763	4685	6763	4422	3328	4384
3922632	方正仿宋繁体	ttf	方正/方正仿宋/方正仿宋繁体.ttf	7822	6763	827	6310	6641	6763	4685	6763	4422	3328	4384
12165048	方正兰亭黑	ttf	方正/方正兰亭黑.ttf	48214	27506	20587	6497	10463	6763	6865	20989	13338	5401	13060
14260812	方正北魏楷书_GBK	ttf	方正/方正北魏楷书_GBK.ttf	22009	20924	979	6489	10371	6763	6865	20923	12307	5401	13060
9941948	方正大标宋_GBK	ttf	方正/方正大标宋/方正大标宋_GBK.ttf	16810	15798	979	6457	10031	6763	6864	15797	11114	5401	13059
